"Question","Option A","Option B","Option C","Option D","Option E"
"1. The majority of postpartum psychotic episodes are characterized by which of the following presentations?","A. Schizophreniform presentation","B. Affective–manic presentation","C. Delirium–organic presentation","D. Dissociative presentation","E. Catatonic presentation"
"2. Which of the following ﬁ  gures represent the correct estimate of the 
incidence of postpartum psychosis?",A. Around 1–2 in 1000,B. Around 1 in 100,"C. Around 1 in 10,000",D. Around 5 in 100,E. Around 1 in 2000
"3. Which of the following postpartum disorders is correctly matched with its 
time of onset?",A. Postpartum blues – within a few months of delivery,B. Postpartum depression – ﬁ  rst week of delivery,C. Postpartum psychosis – within 2 weeks of delivery,D. Postpartum pituitary apoplexy –12 months after delivery,E. All of the above are correct
"4. Which of the following principle has guided the organization of disorders in 
ICD-10 Chapter V?",A. Hierarchy,B. Reversibility,C. Treatment response,D. Mode of onset,"E. Degree of disabilitychapter
2CORE CLINICAL PSYCHIATRY40 CORE CLINICAL PSYCHIATRY | QUESTIONS"
"5. In ICD-10 schizoaffective disorder is included in the same chapter as which 
of the following disorders?",A. Schizophrenia,B. Affective disorders,C. Organic disorders,D. Stress disorders,E. Personality disorders
"6. Which of the following principles is not included in psychiatric classiﬁ  catory 
systems (ICD and DSM) to deﬁ  ne speciﬁ  c psychiatric disorders?",A. Number of symptoms,B. Impairment criteria,C. Duration criteria,D. Prognostic criteria,E. Exclusion criteria
7. Which of the following is a difference between DSM-IV and ICD-10?,A. Culture-bound syndromes are separately classiﬁ  ed in ICD,B. Comorbid diagnoses are allowed in DSM,C. DSM-IV has a dimensional approach to personality disorders,D. Length of illness is a criteria for diagnosing DSM-IV schizophrenia,E. Schizotypal disorder is a personality disorder in ICD-10
"8. In the multiaxial system of DSM-IV, the ﬁ  fth axis refers to?",A. General medical condition,B. Personality difﬁ  culties,C. Global assessment of functioning,D. Psychosocial stress factorsE. Intelligence level
9. T wo clinicians using the same checklist to aid clinical description come up 
with the same diagnosis. Which of the following properties of the checklist is involved in this outcome?",A. Validity of the checklist,B. Reliability of checklist,C. Sensitivity of checklist,D. Speciﬁ  city of checklist,E. None of the above
"10. Which of the following could increase the validity of psychiatric diagnosis in 
the future?",A. Cross-cultural studies,B. Laboratory tests,C. Operational criteria,D. Cross-sectional studies,E. Consensus statementsCORE CLINICAL PSYCHIATRY | QUESTIONS 41
"11. Which of the following is a beneﬁ  t of a categorical classiﬁ  cation over 
dimensional classiﬁ  cation?",A. Easy to communicate,B. Increased validity,C. Prognostic information,D. Informs qualitative research,E. All of the above
"12. Which of the following disorders has the most evidence for existing as a 
continuum in the population, making a dimensional approach more rational?",A. Delusional disorders,B. Personality disorders,C. Developmental disorders,D. Affective disorders,E. Cognitive disorders
"13. By deﬁ  nition, the nature of delirium that differentiates it from dementia 
includes which of the following?",A. Insidious onset,B. Acute onset,C. Deteriorating course,D. Familial onset,E. Irreversible progression
"14. Which of the following best describes the nature of cognitive impairment 
required to diagnose dementia?","A. Focal, progressive deﬁ  cits","B. Focal, static deﬁ  cits","C. Global, progressive deﬁ  cits","D. Global, static deﬁ  cits",E. None of the above
"15. The most common cause of presenile dementia is
A. Vascular dementiaB. Pick’s dementia
C. Alzheimer’s dementia
D. Lewy body dementiaE. Prion dementia
16. Which one of the following is NOT a risk factor for developing dementia?",A. Smoking,B. Boxing,C. Ageing,D. Drinking alcohol,E. Living alone42 CORE CLINICAL PSYCHIATRY | QUESTIONS
"17. The best option for preventing dementia available currently is
A. Regular NSAIDs
B. Vitamin E
C. Low salt dietD. Early retirement
E. None of the above
18. Which one of the following genetic factor is associated with senile dementia 
of Alzheimer’s type?",A. Presenilin 1 only,B. Presenilin 1 and 2,C. Amyloid precursor protein,D. APOE4  allele,E. Defective tau protein
